input_type,pdb_id,pdb_file,chain1,chain2,tag,lig_code,smiles,lig_resi
pocket,10gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/10gs/protein/10gs_boltz_pocket_5A.pdb,A_B,,boltz,,,
pocket,13gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/13gs/protein/13gs_predicted_pocket_5A.pdb,A,,predicted,,,
pocket,16pk,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/16pk/protein/16pk_boltz_pocket_5A.pdb,A,,boltz,,,
pocket,184l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/184l/protein/184l_experimental_pocket_5A.pdb,A,,experimental,,,
pocket,185l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/185l/protein/185l_experimental_pocket_5A.pdb,A,,experimental,,,
pocket,186l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/186l/protein/186l_boltz_pocket_5A.pdb,A,,boltz,,,
pocket,187l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/187l/protein/187l_boltz_pocket_5A.pdb,A,,boltz,,,
pocket,188l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/188l/protein/188l_experimental_pocket_5A.pdb,A,,experimental,,,
pocket,1a07,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a07/protein/1a07_experimental_pocket_5A.pdb,A,,experimental,,,
pocket,1a08,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a08/protein/1a08_experimental_pocket_5A.pdb,A,,experimental,,,
pocket,1a08,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a08/protein/1a08_predicted_pocket_5A.pdb,A,,predicted,,,
