input_type,pdb_id,pdb_file,chain1,chain2,tag,lig_code,smiles,lig_resi
ligand,10gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/10gs/ligand/HIQBind_ligand.pdb,,A_B,holo,UNL,[NH3+][C@@H](CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](C(=O)[O-])c1ccccc1)C(=O)[O-],1
ligand,13gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/13gs/ligand/plinder_ligand.pdb,,A,holo,UNL,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1
ligand,16pk,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/16pk/ligand/RCSB_ligand.pdb,,A,holo,UNL,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)C(F)(F)CCCC(F)(F)P(=O)(O)O)[C@@H](O)[C@H]1O,1
ligand,184l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/184l/ligand/plinder_ligand.pdb,,A,holo,UNL,CC(C)Cc1ccccc1,1
ligand,185l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/185l/ligand/plinder_ligand.pdb,,A,holo,UNL,c1ccc2[nH]ccc2c1,1
ligand,186l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/186l/ligand/HIQBind_ligand.pdb,,A,holo,UNL,CCCCc1ccccc1,1
ligand,187l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/187l/ligand/plinder_ligand.pdb,,A,holo,UNL,Cc1ccc(C)cc1,1
ligand,188l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/188l/ligand/plinder_ligand.pdb,,A,holo,UNL,Cc1ccccc1C,1
ligand,1a07,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a07/ligand/plinder_ligand.pdb,,B,holo,UNL,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(C)=O,1
ligand,1a08,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a08/ligand/plinder_ligand.pdb,,A,holo,UNL,CCCCCN(CCCCC)C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O,1
