input_type,pdb_id,pdb_file,chain1,chain2,tag,lig_code,smiles,lig_resi
pocket,10gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/10gs/protein/10gs_pocket_5A.pdb,A_B,,holo,,,
pocket,13gs,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/13gs/protein/13gs_pocket_5A.pdb,A,,holo,,,
pocket,16pk,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/16pk/protein/16pk_pocket_5A.pdb,A,,holo,,,
pocket,184l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/184l/protein/184l_pocket_5A.pdb,A,,holo,,,
pocket,185l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/185l/protein/185l_pocket_5A.pdb,A,,holo,,,
pocket,186l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/186l/protein/186l_pocket_5A.pdb,A,,holo,,,
pocket,187l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/187l/protein/187l_pocket_5A.pdb,A,,holo,,,
pocket,188l,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/188l/protein/188l_pocket_5A.pdb,A,,holo,,,
pocket,1a07,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a07/protein/1a07_pocket_5A.pdb,B,,holo,,,
pocket,1a08,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a08/protein/1a08_pocket_5A.pdb,A,,holo,,,
pocket,1a09,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a09/protein/1a09_pocket_5A.pdb,A_B,,holo,,,
pocket,1a1b,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a1b/protein/1a1b_pocket_5A.pdb,B,,holo,,,
pocket,1a1c,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a1c/protein/1a1c_pocket_5A.pdb,B,,holo,,,
pocket,1a1e,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a1e/protein/1a1e_pocket_5A.pdb,B,,holo,,,
pocket,1a30,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a30/protein/1a30_pocket_5A.pdb,A_B,,holo,,,
pocket,1a37,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a37/protein/1a37_pocket_5A.pdb,A,,holo,,,
pocket,1a4k,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a4k/protein/1a4k_pocket_5A.pdb,C_D,,holo,,,
pocket,1a4m,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a4m/protein/1a4m_pocket_5A.pdb,A,,holo,,,
pocket,1a4q,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a4q/protein/1a4q_pocket_5A.pdb,A,,holo,,,
pocket,1a4r,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a4r/protein/1a4r_pocket_5A.pdb,B,,holo,,,
pocket,1a50,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a50/protein/1a50_pocket_5A.pdb,A,,holo,,,
pocket,1a5h,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a5h/protein/1a5h_pocket_5A.pdb,A,,holo,,,
pocket,1a5v,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a5v/protein/1a5v_pocket_5A.pdb,A,,holo,,,
pocket,1a7c,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a7c/protein/1a7c_pocket_5A.pdb,A,,holo,,,
pocket,1a7x,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a7x/protein/1a7x_pocket_5A.pdb,A_B,,holo,,,
pocket,1a85,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a85/protein/1a85_pocket_5A.pdb,A,,holo,,,
pocket,1a86,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a86/protein/1a86_pocket_5A.pdb,A,,holo,,,
pocket,1a8i,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a8i/protein/1a8i_pocket_5A.pdb,A,,holo,,,
pocket,1a8t,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a8t/protein/1a8t_pocket_5A.pdb,A,,holo,,,
pocket,1a99,/blue/yanjun.li/share/GatorMol/GatorMol/dataset/LP_PDBBind/LP_PDBBind_train/1a99/protein/1a99_pocket_5A.pdb,A,,holo,,,
