pdbid,-logKd/Ki
3qfd,4.17
1h6h,5.3
6ml9,5.3
3nq3,3.78
1sdu,10.07
6mle,9.0
4b5w,3.33
3uxl,5.57
6eog,5.8
6p89,5.01
1qbs,9.47
4w97,7.1
4u1b,5.31
4avj,7.44
3acx,5.7
5fut,6.45
5ot8,4.2
4hpi,4.85
3b65,9.27
4xu2,9.23
5xo7,6.36
2dri,6.89
4q4q,5.79
4bt5,2.76
2jdu,6.72
6p87,4.6
6czf,5.8
4wn5,7.41
3su1,6.68
5fyx,4.16
5ko5,4.57
1jeu,6.82
6hke,7.68
1b8y,7.85
6b4u,7.68
5ad1,7.24
4xtw,9.03
4bj8,8.29
6gl8,8.61
3zhx,6.68
5zyg,5.21
1ndw,5.23
1jzs,6.6
5lz7,6.28
1g2k,7.96
1lee,7.74
3tsk,7.17
4x50,7.75
4r4c,5.54
5hwv,5.07
4ndu,2.74
2i80,5.4
2o4j,10.1
5ult,10.85
3nhi,8.43
6t1m,5.21
4epy,3.47
5nau,7.52
3e5u,5.85
3nu5,8.35
5kr2,8.48
5j3l,4.8
1ajq,4.31
6gwe,7.38
5ka7,4.35
1nl9,5.96
1ogz,5.85
1msn,9.09
1ajp,2.23
1izh,7.7
2doo,7.17
4kz3,2.77
5aba,2.98
5dgu,11.35
1ew8,2.26
3zi8,5.66
4ynb,10.37
1srg,5.3
3lea,9.1
3o9p,6.52
4gah,6.1
2q8z,5.68
5cp5,5.91
5gof,4.05
1aid,4.82
4kwg,6.0
5eqy,8.0
2qdt,5.19
3pb7,5.74
1drv,6.54
1ex8,6.33
1yvm,6.4
4b6o,7.0
3l4v,6.72
3jup,5.58
3n7o,7.14
4e67,6.48
2xbw,8.0
2jf4,8.15
4cr5,4.15
3p8n,9.28
1n51,4.85
2jdp,6.6
3zpu,8.38
1f8d,3.4
1olx,4.33
6q4e,3.46
3ljg,7.73
3m8u,4.89
4bt4,3.34
3zi0,7.4
1r9l,5.4
4fxq,5.77
6g29,4.33
2gh9,6.0
4y3j,2.17
2vzr,4.28
3a6t,7.28
5hvt,7.26
5zw6,8.0
3rt8,6.35
4yo8,10.52
4zow,4.12
6cq1,3.66
3tcg,5.87
2clh,4.06
3ui7,9.0
1km3,4.91
4k55,5.51
5efa,4.83
2f8g,8.7
3gi5,11.22
6gvz,6.4
1hee,5.34
1ecq,3.0
3s45,8.49
1g7g,6.6
2wyj,9.0
2xej,8.87
4u43,4.32
4hw3,6.49
4f6u,6.15
2yaz,5.14
1pzi,4.22
5fbi,2.8
2jg0,7.82
5dxt,9.7
1jmg,6.07
2v2q,4.15
4i8w,10.9
6g14,5.49
